title,author,lent_by,lent_since,lent_times,year,catalogued,location,excerpt
Enigmatic Legend of the Death,Supreme Archchancellor Robert Lopez,,,3,The 10th year after Octarine Sunset,year -133 in the 10th month,Mended Drum: middle shelve. 7m from the end,Morning blue loss news.
Spectacular Folklore of the Trolls,Eminent Thief Kristen Adams,,,42,The 11th year after Lancre Coven,unknown,Dungeon Dimensions: top shelve. 1m from the end,Speech draw ability.
Enchanted Yarn of the Lancre,Lead Alchemist Susan Alexander,,,5,The 2nd year after Tin Trunk,year -122 in the 11th month,Mended Drum: top shelve. 12m from the end,Policy trade audience environment I capital.
Hilarious Anecdote of the Disc,Evan Davis,Kelsey Baker,year -319 in the 5th month,9,The 7th year after Silver Horde,year -099 in the 12th month,Dungeon Dimensions: bottom shelve. 5m from the start,Citizen result take carry pay pattern either.
Wondrous Conundrum of the Golems,Supreme Archchancellor Matthew Wiggins,,,42,The 8th year after Librarian's Wrath,year 0451 in the 4th month,Restricted Section: top shelve. 10m from the end,Once exist whole majority beautiful.
Ludicrous Journey of the Lancre,Principal Witch Ricky Lopez,,,1,The year of Assassin's Guild,year 0197 in the 4th month,Restricted Section: top shelve. 13m from the start,History bed so color forward north everybody agree.
Unbelievable Odyssey of the Counterweight Continent,Lead Alchemist Pamela Mendez,,,0,The 14th year after Tin Trunk,year 0456 in the 7th month,Dungeon Dimensions: bottom shelve. 5m from the start,Him his full meet hospital.
Fantastical Tale of the Hogfather,Foremost Patrician Frank Kelly,Stacey Vaughn,year 0040 in the 3rd month,9,The 8th year after Patrician's Eyebrow,year 0070 in the 3rd month,Mended Drum: top shelve. 13m from the end,Imagine able receive agent.
Bewitching Revelation of the Unseen University,Kathryn Wright,,,42,The 4th year after Knurd,year 0314 in the 2nd month,Great Hall: middle shelve. 13m from the end,Fill energy believe treat fire memory.
Eccentric Allegory of the Patrician,Imperial Assassin Andrea Baker,Elizabeth Gomez,year -106 in the 7th month,5,The 9th year after Opera House Ghost,year 0459 in the 5th month,Great Hall: top shelve. 13m from the end,Require condition sort center.
Spectacular Adventure in Ankh-Morpork,Foremost Patrician Mr. Ricky Glover,Teresa Ford,year 0306 in the 1st month,7,The 5th year after Imp-powered Devices,unknown,Restricted Section: bottom shelve. 5m from the start,Sea street local.
Wondrous Romance of the Death,Eminent Thief Heather Berry,,,4,The 12th year after Prawn,year 0368 in the 12th month,Restricted Section: bottom shelve. 4m from the end,Paper property lead than exist find.
Ludicrous Conundrum of the Unseen University,High Wizard of Unseen Christopher Sloan,Natasha Morris,year -012 in the 6th month,6,The 4th year after Assassin's Guild,year 0071 in the 9th month,Dungeon Dimensions: top shelve. 15m from the start,Discover allow news ago.
Comical Recital of the Wizards,Mastermagician Andrew Marquez,,,8,The year of Lancre Coven,year 0733 in the 11th month,Mended Drum: middle shelve. 2m from the start,National grow through manager represent.
Amazing Romance of the Patrician,High Wizard of Unseen Mrs. Sarah Henderson,David Rodriguez,year 0049 in the 7th month,4,The 13th year after Patrician's Eyebrow,year 0319 in the 12th month,Mended Drum: middle shelve. 2m from the end,Doctor soldier sit future.
Majestic Myth of the Hogfather,Lead Alchemist Scott Young,Jamie Chavez,year -293 in the 12th month,0,The 12th year after Magic Bananas,year 0392 in the 7th month,Great Hall: middle shelve. 11m from the end,Then live lawyer when ball.
Illustrious Escapade of the Hogfather,Mitchell Huff,,,2,The 1st year after Librarian's Wrath,year 0655 in the 11th month,Mended Drum: bottom shelve. 1m from the end,Team information positive effect.
Dreadful Narrative of the Hogfather,Imperial Assassin James Williams,Betty King,year -343 in the 1st month,6,The 11th year after Mended Drum,year 0651 in the 3rd month,Restricted Section: middle shelve. 7m from the start,South it spring agreement between bring example.
Fantastical Adventure of the Patrician,Lead Alchemist Elizabeth Jones,William Le,year -061 in the 12th month,0,The 10th year after Mended Drum,year -056 in the 7th month,Mended Drum: middle shelve. 13m from the end,Financial end tax rock board exactly board nature.
Delightful Escapade of the Librarian,Dalton Wallace,Joseph Cervantes,year -301 in the 7th month,1,The 10th year after Magic Bananas,year 0322 in the 9th month,Restricted Section: middle shelve. 10m from the end,Which most catch performance picture than.
Incredible Journey of the Nac Mac Feegle,Senior Guildmaster Richard Mcdaniel,Brooke Chen,year 0072 in the 2nd month,3,The 3rd year after Magic Bananas,year 0831 in the 9th month,Restricted Section: bottom shelve. 7m from the end,Policy surface cost necessary system hope manage difficult.
Enchanted Chronicle of Magic,Imperial Assassin Linda Li,,,2,The 11th year after Luggage,year 0067 in the 4th month,Great Hall: middle shelve. 11m from the start,State nor operation scientist spend maybe suffer.
Peculiar Yarn of the Clacks,Mastermagician Heather Cox,Jackie Murray,year 0824 in the 3rd month,6,The 10th year after Luggage,unknown,Dungeon Dimensions: middle shelve. 13m from the end,Teach tend focus allow along most.
Unimaginable Myth of the Death,Foremost Patrician Angela Parker,,,8,The 13th year after Assassin's Guild,year 0567 in the 7th month,Mended Drum: bottom shelve. 5m from the end,Really around hot true firm.
Remarkable Journey of the City Watch,Senior Guildmaster Heather Gonzalez,Elizabeth Burton,year -152 in the 9th month,6,The 5th year after Silver Horde,year 0281 in the 8th month,Restricted Section: top shelve. 4m from the end,Vote economy owner upon staff old cause.
Puzzling Tale in Ankh-Morpork,Mastermagician Robert Graham,,,6,The 8th year after Guild Wars,year 0650 in the 8th month,Restricted Section: middle shelve. 15m from the end,Ready thank across wall life.
Fantastical Mystery of the Rincewind,Principal Witch Frank Smith,Vincent Gonzalez,year -490 in the 8th month,7,The 11th year after Bursar's Sanity,year -384 in the 2nd month,Great Hall: top shelve. 11m from the end,Total expert partner.
Curious Journey of the Witches,Professor Kevin Brown,James White,unknown,8,The 7th year after Seamstress's Guild,year 0030 in the 8th month,Dungeon Dimensions: top shelve. 4m from the start,Total public raise opportunity may really.
Bewildering Legend of the City Watch,Grandmaster of Guilds Cory Flores,,,1,The 4th year after Guild Wars,year 0159 in the 10th month,Dungeon Dimensions: top shelve. 9m from the start,Charge mother resource he college claim.
Frightening Adventure in Ankh-Morpork,Chief Scrivener Brandi Ward,,,8,The 4th year after Mended Drum,year -443 in the 7th month,Tower of Art: middle shelve. 5m from the start,Up figure and cultural.
Bizarre Myth of the Wizards,Senior Guildmaster Gregory Floyd,,,4,The 8th year after Wizzard's Hat,year 0528 in the 5th month,Mended Drum: top shelve. 7m from the end,Government think agreement skin upon wear.
Delightful Chronicle of the Unseen University,Professor Karen Johnson,,,2,The 12th year after Hogswatch Miracle,year -498 in the 11th month,Dungeon Dimensions: middle shelve. 1m from the start,Beat benefit growth ok.
Stupendous Saga of the Clacks,Foremost Patrician Angela Hansen,,,3,The 9th year after Sentient Luggage,year -095 in the 9th month,Tower of Art: bottom shelve. 11m from the start,Thank election personal hope determine.
Hilarious Mystery of the Librarian,Principal Witch Amber Davis,Sean Gonzalez,year -409 in the 4th month,7,The 4th year after Quantum Weather Butterflies,year 0467 in the 2nd month,Dungeon Dimensions: top shelve. 12m from the end,Live know institution run start idea response.
Dreadful Epic of the Witches,Foremost Patrician Rebekah Horton,Brandon Reynolds,year -445 in the 5th month,8,The 14th year after Sentient Luggage,year -193 in the 6th month,Tower of Art: top shelve. 13m from the start,Experience great majority catch scientist hundred claim.
Stupendous Folklore of the Trolls,Imperial Assassin Matthew English,,,6,The year of Quantum Weather Butterflies,year 0091 in the 5th month,Dungeon Dimensions: top shelve. 7m from the end,Large watch enjoy miss particular woman.
Perilous Legend of the Death,Principal Witch Stephen Kemp,,,5,The 9th year after Assassin's Guild,year 0040 in the 7th month,Mended Drum: middle shelve. 12m from the start,Eight focus employee contain.
Unbelievable Adventure of the Rincewind,Eminent Thief David Burns,,,7,The 7th year after Silver Horde,year 0518 in the 12th month,Great Hall: top shelve. 11m from the end,Ten assume hope.
Dauntless Quest of the Disc,Supreme Archchancellor Sheila Allen,Jane Jensen,year -239 in the 2nd month,1,The 12th year after Imp-powered Devices,year -076 in the 10th month,Great Hall: middle shelve. 14m from the end,Huge these wait us indicate water why.
Frightening Recital of the Dungeon Dimensions,High Wizard of Unseen Crystal Ayala,Connor Solis,year 0100 in the 9th month,0,The 12th year after Amazing Maurice,year 0810 in the 5th month,Great Hall: middle shelve. 14m from the end,Gun still child piece catch husband marriage.
Incredible Journey of the Nac Mac Feegle,Gabriel Garcia,,,3,The 10th year after Klatchian Coffee,year 0505 in the 1st month,Great Hall: bottom shelve. 11m from the end,Conference next mouth contain necessary media.
Frightening Allegory of the Clacks,Grandmaster of Guilds Michele Lewis,,,9,The 2nd year after Invisible College,year -107 in the 7th month,Dungeon Dimensions: middle shelve. 3m from the start,Improve country particular involve.
Astounding Chronicle of the Nac Mac Feegle,Chief Scrivener Amy Guerrero,Dana Nichols,year 0030 in the 5th month,0,The 7th year after Fruitbat,year 0200 in the 4th month,Restricted Section: middle shelve. 2m from the end,Line artist place lay church trip.
Fanciful Adventure of the Hogfather,Richard Velez,Don Parsons,year 0339 in the 4th month,9,The 14th year after Knurd,year 0799 in the 7th month,Tower of Art: top shelve. 3m from the start,After direction face tend.
Amazing Mystery in Ankh-Morpork,Eminent Thief Alicia Ramirez,Christopher Coleman,year -337 in the 2nd month,6,The 7th year after Talking Dog,year -142 in the 12th month,Tower of Art: bottom shelve. 15m from the start,Cover analysis group need threat southern.
Bewitching Odyssey of the City Watch,Grandmaster of Guilds Peter Miller,,,9,The 2nd year after Seamstress's Guild,year 0428 in the 1st month,Tower of Art: top shelve. 9m from the start,Front style ability quality who.
Ludicrous Saga of the Wizards,Imperial Assassin Kristen Velez,,,7,The 6th year after Fruitbat,year -448 in the 11th month,Great Hall: middle shelve. 5m from the end,Increase receive fill because budget.
Majestic Epic of the Wizards,Professor David Levine,Cassandra Logan DDS,year -405 in the 7th month,2,The 4th year after Luggage,year -150 in the 3rd month,Restricted Section: middle shelve. 2m from the start,Value race manager sound song sit.
Fantastical Adventure of the Counterweight Continent,Principal Witch Keith Melendez,,,3,The year of Amazing Maurice,year 0844 in the 7th month,Great Hall: top shelve. 4m from the end,Case bill what budget suffer industry begin or.
Bewitching Parable of the Clacks,Foremost Patrician Kim Duran,Gina Herring,year 0306 in the 1st month,0,The 9th year after Opera House Ghost,year 0914 in the 12th month,Dungeon Dimensions: top shelve. 15m from the start,Subject subject city there about increase themselves contain.
Incredible Conundrum of the Unseen University,Lead Alchemist Steven Brown,Jason Doyle,year -321 in the 10th month,7,The 14th year after Lancre Coven,year -006 in the 10th month,Restricted Section: middle shelve. 5m from the start,Then low during building or employee.
Bizarre Conundrum of the Patrician,High Wizard of Unseen Frank Nelson,,,9,The 2nd year after Hedgehog,year 0420 in the 7th month,Tower of Art: middle shelve. 4m from the end,Store sense become four including account woman bill.
Puzzling Fable of the Dungeon Dimensions,Senior Guildmaster Melanie Velez,,,5,The 9th year after Topsy-Turvy Times,year -131 in the 3rd month,Mended Drum: middle shelve. 14m from the end,Serious part source boy number hold system level.
Spectacular Escapade of the Hogfather,Grandmaster of Guilds Jay Rogers,,,4,The 4th year after Assassin's Guild,year -064 in the 5th month,Mended Drum: bottom shelve. 9m from the end,Magazine tell education bad office.
Improbable Revelation of Magic,Andrew Butler,,,0,The year of Golem Uprising,year 0188 in the 4th month,Tower of Art: middle shelve. 12m from the end,Near whole suggest nation traditional recognize.
Peculiar Odyssey of the Dungeon Dimensions,Grandmaster of Guilds Tammy Black,Emily Spencer,year -420 in the 12th month,8,The 7th year after Opera House Ghost,year 0088 in the 11th month,Restricted Section: top shelve. 5m from the end,Family once able civil.
Delightful Saga of the Trolls,Principal Witch Wesley Wells,Christian Scott,year 0345 in the 9th month,4,The year of Prawn,year 0899 in the 9th month,Tower of Art: top shelve. 2m from the start,Service decide young worker ten.
Curious Illusion of the Librarian,High Wizard of Unseen Denise Cooper DVM,Joseph Schneider,year -183 in the 7th month,5,The 6th year after Octarine Sunset,year 0962 in the 4th month,Dungeon Dimensions: top shelve. 3m from the end,Decade president start think industry.
Eccentric Tale of the Lancre,Professor Joshua Howard,Terri Rogers,year -451 in the 4th month,3,The 7th year after Howondaland Expedition,year -401 in the 11th month,Tower of Art: middle shelve. 2m from the end,South performance clear international.
Unbelievable Journey of the Unseen University,Eminent Thief James Payne,Miguel Webb,year -207 in the 7th month,4,The 9th year after Seamstress's Secrets,year 0309 in the 4th month,Restricted Section: bottom shelve. 15m from the start,Prepare speech box still.
Fantastical Legend of the Golems,Professor Dean Davila,,,9,The 10th year after Cabbage,year -373 in the 11th month,Great Hall: top shelve. 4m from the end,Health age lawyer these never big guess.
Mysterious Adventure of the Trolls,Imperial Assassin Linda Myers,,,8,The 2nd year after Hedgehog,year 0391 in the 4th month,Mended Drum: middle shelve. 8m from the end,First box mind themselves community.
Comical Chronicle in Ankh-Morpork,Matthew Howe,Karen Cruz,year -191 in the 12th month,1,The 10th year after Opera House Ghost,year -143 in the 11th month,Dungeon Dimensions: bottom shelve. 5m from the end,Several soldier arrive rule language.
Glorious Narrative of the Wizards,Stephanie Love,,,4,The 2nd year after Squid,year -239 in the 8th month,Tower of Art: bottom shelve. 5m from the end,Would war strategy them keep admit.
Illustrious Quest of the Witches,Eminent Thief Jennifer Frank,Jonathan French,year -048 in the 9th month,1,The 1st year after Tin Trunk,year 0626 in the 10th month,Tower of Art: middle shelve. 5m from the start,Similar garden country well official.
Curious Fable of the Counterweight Continent,Mastermagician Cheryl Lynn,,,9,The 6th year after Sentient Luggage,year 0929 in the 3rd month,Great Hall: top shelve. 12m from the start,Despite director clear its why administration significant exactly.
Ludicrous Narrative of the Golems,Supreme Archchancellor Emily Spence,,,1,The 2nd year after Prawn,unknown,Tower of Art: top shelve. 4m from the end,About dark between speak opportunity baby.
Unbelievable Expedition of the Patrician,Grandmaster of Guilds Michael Taylor,Sally Adams,year -396 in the 9th month,3,The 10th year after Howondaland Expedition,year -359 in the 4th month,Dungeon Dimensions: top shelve. 4m from the end,Serious wide able anyone fund offer probably.
Illustrious Adventure of the Agatean Empire,High Wizard of Unseen Bailey Nichols,,,1,The 2nd year after Invisible College,year 0033 in the 7th month,Tower of Art: bottom shelve. 2m from the start,Foreign significant world property respond letter.
Glorious Romance of the Agatean Empire,Foremost Patrician Leslie Sweeney,Valerie Wright,year -413 in the 9th month,5,The 11th year after Invisible College,year -194 in the 6th month,Dungeon Dimensions: top shelve. 9m from the start,Program partner seven power break build.
Amazing Parable in Ankh-Morpork,Eminent Thief Matthew Frye,,,42,The 5th year after Cabbage,year 0509 in the 10th month,Great Hall: bottom shelve. 1m from the end,Amount city speak station spring why.
Mysterious Odyssey of the Unseen University,Imperial Assassin John Sharp,,,4,The 7th year after Octarine Sunset,year 0451 in the 12th month,Tower of Art: bottom shelve. 4m from the end,Writer lead value.
Majestic Myth in Ankh-Morpork,Senior Guildmaster Jordan Paul,Anthony Terry,year -216 in the 8th month,2,The 1st year after Tin Trunk,year 0106 in the 7th month,Dungeon Dimensions: middle shelve. 7m from the end,Politics evening life accept design.
Eccentric Expedition of the Death,Supreme Archchancellor Steven King,Tyler Sandoval,year -491 in the 7th month,42,The 2nd year after Topsy-Turvy Times,year -453 in the 8th month,Tower of Art: bottom shelve. 12m from the start,Off summer movement bank space room.
Dauntless Tale of the City Watch,Senior Guildmaster Barbara Johnson,Brittany Robinson,year -443 in the 1st month,1,The 12th year after Wizzard's Hat,year -138 in the 10th month,Restricted Section: middle shelve. 7m from the end,Whatever space experience blood room society none.
Delightful Yarn of the Trolls,Eminent Thief Sandra Hill,,,0,The 5th year after Hedgehog,year -326 in the 1st month,Restricted Section: bottom shelve. 13m from the end,Party follow work seat.
Puzzling Odyssey of the Clacks,Chief Scrivener Jesse Anderson,,,6,The 13th year after Howondaland Expedition,year 0969 in the 2nd month,Mended Drum: middle shelve. 2m from the start,Develop white we.
Hilarious Odyssey of the City Watch,Professor Tyler Johnson,,,8,The 11th year after Invisible College,year 0426 in the 6th month,Tower of Art: bottom shelve. 7m from the start,Chance simply performance usually of.
Dauntless Lore of the Patrician,Imperial Assassin Thomas Wagner,,,9,The 1st year after Luggage,year -221 in the 7th month,Great Hall: top shelve. 4m from the start,Last PM central her activity instead final.
Amazing Conundrum of the Nac Mac Feegle,Mastermagician Ashley Wiggins,,,5,The 1st year after Amazing Maurice,year 0471 in the 12th month,Great Hall: top shelve. 15m from the end,Focus kind husband check race ever.
Improbable Romance of the Disc,Chief Scrivener Meredith Mcconnell,Jennifer Brock,year -387 in the 12th month,5,The 1st year after Mended Drum,year 0384 in the 2nd month,Mended Drum: bottom shelve. 10m from the end,Stop receive them perform per.
Spectacular Allegory of the Wizards,Foremost Patrician Lucas Coffey,,,9,The 5th year after Librarian's Wrath,year -217 in the 8th month,Great Hall: middle shelve. 3m from the start,Nation go pressure beat fight artist democratic.
Improbable Adventure of the Nac Mac Feegle,Senior Guildmaster Scott Duke,,,42,The 1st year after Amazing Maurice,year -281 in the 8th month,Dungeon Dimensions: top shelve. 11m from the end,Laugh practice policy.
Delightful Saga of the Counterweight Continent,Imperial Assassin Sean Watkins,,,9,The 3rd year after Seamstress's Secrets,year -244 in the 7th month,Dungeon Dimensions: middle shelve. 15m from the end,Tell your yeah single road.
Bizarre Chronicle of the Nac Mac Feegle,Eminent Thief Crystal Thomas,,,4,The 7th year after Patrician's Eyebrow,year 0882 in the 7th month,Tower of Art: bottom shelve. 7m from the start,Early financial thank from dream need.
Puzzling Fable of the Clacks,Supreme Archchancellor Luis Peters,Brian Duffy,year -419 in the 3rd month,3,The 6th year after Magic Bananas,year 0106 in the 10th month,Dungeon Dimensions: middle shelve. 1m from the start,Resource condition human.
Enchanted Yarn of the Agatean Empire,Foremost Patrician Micheal Mitchell,Tracy Medina,year 0056 in the 4th month,8,The 12th year after Hedgehog,year 0985 in the 4th month,Dungeon Dimensions: middle shelve. 6m from the start,Still gun prepare side recently industry.
Unimaginable Fantasy of the Agatean Empire,Mastermagician Joshua Stanley,Amy Wheeler,year -418 in the 8th month,42,The 13th year after Mended Drum,year -116 in the 2nd month,Mended Drum: middle shelve. 2m from the end,Card expect growth hope environment yourself skill.
Fantastical Chronicle in Ankh-Morpork,Mastermagician Joseph Castro,Misty Stewart,year 0737 in the 1st month,42,The 11th year after Wizzard's Hat,year 0739 in the 8th month,Dungeon Dimensions: bottom shelve. 7m from the end,Account financial executive suddenly hundred way seek.
Stupendous Recital of the Librarian,Senior Guildmaster Roy Torres,Kylie Hendricks,year -356 in the 12th month,0,The 11th year after Guild Wars,year 0683 in the 2nd month,Tower of Art: top shelve. 15m from the start,Base join far walk.
Dauntless Narrative of the Unseen University,Foremost Patrician Michael Thomas,Scott Hill,year 0181 in the 7th month,9,The 14th year after Topsy-Turvy Times,year 0271 in the 7th month,Dungeon Dimensions: top shelve. 13m from the start,Something drop sign next about here.
Curious Parable of the Hogfather,Professor Nicole Foster,,,6,The 13th year after Cabbage,year 0492 in the 9th month,Restricted Section: middle shelve. 7m from the end,Final answer certainly.
Unimaginable Parable of the Lancre,Professor Emily Erickson,,,4,The 8th year after Luggage,year -330 in the 12th month,Mended Drum: middle shelve. 13m from the start,Matter talk will open measure.
Improbable Saga in Ankh-Morpork,Senior Guildmaster Jeffrey White,Justin Webster,year -252 in the 7th month,3,The 10th year after Turtle Moves,year 0693 in the 5th month,Mended Drum: top shelve. 12m from the end,Wide expert under evidence listen where market.
Curious Chronicle of the Golems,Amber Rogers,Claire Watts,year -464 in the 7th month,7,The 13th year after Knurd,year -406 in the 7th month,Tower of Art: middle shelve. 10m from the start,Tend three west side under get camera hour.
Enchanted Escapade of the Dungeon Dimensions,Laura Benitez,,,7,The 12th year after Crystal Goblins,year 0819 in the 7th month,Restricted Section: top shelve. 10m from the start,Tax meeting single pattern provide perhaps onto.
Amazing Parable of the Agatean Empire,Mastermagician Luke House,Leah Rodriguez,year -280 in the 6th month,42,The 5th year after Turtle Moves,year -192 in the 6th month,Great Hall: middle shelve. 4m from the end,Everything money sound particular.
Improbable Tale of the Trolls,Eminent Thief Louis Thomas,Justin Rodriguez,year 0178 in the 2nd month,2,The 14th year after Librarian's Wrath,year 0869 in the 11th month,Mended Drum: top shelve. 11m from the end,Four concern full whose provide southern beyond story.
Unbelievable Illusion of the Agatean Empire,Senior Guildmaster Kevin Bridges,Antonio Bell,year -478 in the 4th month,4,The 9th year after Crystal Goblins,year 0428 in the 10th month,Great Hall: middle shelve. 1m from the start,Stage class born back role.
Peculiar Conundrum of the Librarian,Supreme Archchancellor Christopher Garrett,,,8,The 10th year after Sentient Luggage,unknown,Mended Drum: bottom shelve. 11m from the start,Relationship increase account.
Hilarious Exploit of the Wizards,Chief Scrivener Charles Byrd,,,7,The 3rd year after Mended Drum,year 0563 in the 1st month,Tower of Art: top shelve. 6m from the end,Down dinner of product glass.
Illustrious Romance of the Agatean Empire,Eminent Thief Mrs. Donna Rivera,,,3,The 6th year after Sentient Luggage,year -496 in the 4th month,Great Hall: bottom shelve. 4m from the start,Never nearly parent certainly billion address.
Enchanted Illusion of the Death,Imperial Assassin Curtis Dalton,,,7,The 6th year after Magic Bananas,year 0274 in the 5th month,Mended Drum: bottom shelve. 8m from the end,Better treatment stop little.
Enigmatic Recital of the Unseen University,Eminent Thief Stephen Thompson,Lisa Gutierrez,year -195 in the 6th month,9,The 2nd year after Topsy-Turvy Times,year -100 in the 12th month,Dungeon Dimensions: middle shelve. 8m from the end,Local several voice go onto their benefit parent.
Fanciful Recital of the Witches,Grandmaster of Guilds Jennifer Phillips,,,2,The 2nd year after Tin Trunk,year -183 in the 6th month,Great Hall: bottom shelve. 8m from the end,Effort support coach second.
Fantastical Exploit in Ankh-Morpork,Senior Guildmaster Shawn Graham,,,5,The 6th year after Topsy-Turvy Times,year 0483 in the 3rd month,Great Hall: bottom shelve. 15m from the start,Face along read instead.
Spectacular Episode of the Agatean Empire,Grandmaster of Guilds Valerie Vazquez,Nicholas Taylor,year -316 in the 7th month,0,The 1st year after Fruitbat,year -145 in the 12th month,Restricted Section: bottom shelve. 11m from the start,Stop feeling me today trip be.
Frightening Chronicle of the Wizards,Foremost Patrician Lisa Brown,Jacob Scott,year -253 in the 3rd month,5,The 12th year after Knurd,year 0898 in the 11th month,Dungeon Dimensions: top shelve. 14m from the start,Certainly do enter deal experience.
Fanciful Anecdote of the Rincewind,Senior Guildmaster Shawn Black,Kathleen Brown,year -410 in the 12th month,5,The 7th year after Lancre Coven,year 0480 in the 3rd month,Great Hall: top shelve. 5m from the start,Not cost include later table might face.
Dreadful Epic of the Dungeon Dimensions,High Wizard of Unseen Courtney Coleman,,,9,The 9th year after Invisible College,year -085 in the 12th month,Mended Drum: top shelve. 14m from the start,Week church election would.
Wondrous Furlough of the Nac Mac Feegle,Professor Martin Todd,,,42,The 7th year after Bursar's Sanity,year 0967 in the 7th month,Restricted Section: middle shelve. 4m from the end,End enter table push study.
Perilous Saga of the Lancre,Eminent Thief Molly Cowan,,,4,The 11th year after Seamstress's Guild,year 0120 in the 1st month,Great Hall: bottom shelve. 12m from the start,Hit usually answer price face treat fill.
Hilarious Furlough of the Lancre,Chief Scrivener Jeffrey Logan,,,7,The 13th year after Hedgehog,year 0227 in the 9th month,Great Hall: top shelve. 11m from the end,Development role lay seek magazine statement.
Bewitching Lore of the Disc,Lead Alchemist Frederick Roy,,,42,The 14th year after Hogswatch Miracle,year 0333 in the 9th month,Restricted Section: middle shelve. 1m from the start,Me could small between official their less however.
Bizarre Mystery of the Lancre,Imperial Assassin Samuel Haynes,Martha Gutierrez,year -183 in the 9th month,5,The year of Luggage,year 0184 in the 2nd month,Mended Drum: top shelve. 13m from the end,Nation your treat oil perform property tend ok.
Unimaginable Episode of the Death,Grandmaster of Guilds Brian Carroll,Jennifer Tran,year -283 in the 8th month,2,The 12th year after Opera House Ghost,year -205 in the 2nd month,Tower of Art: middle shelve. 3m from the end,Party could difficult let.
Unbelievable Narrative of the Witches,Chief Scrivener Caitlin Rodriguez,Kevin Perez,year -255 in the 9th month,6,The 3rd year after Turtle Moves,year 0753 in the 7th month,Restricted Section: top shelve. 8m from the end,Republican avoid whether better.
Comical Episode of the City Watch,Foremost Patrician Charles Roberts,,,6,The 10th year after Squid,year 0497 in the 6th month,Great Hall: middle shelve. 14m from the start,Challenge growth possible military.
Perilous Journey of the Agatean Empire,Ashley Oneill,Samantha Gibson,year -382 in the 7th month,6,The year of Lancre Coven,year 0212 in the 7th month,Dungeon Dimensions: middle shelve. 7m from the start,Laugh red clearly affect program.
Unimaginable Tale of the City Watch,Supreme Archchancellor Jessica Johnson,,,42,The 13th year after Opera House Ghost,year -412 in the 11th month,Mended Drum: bottom shelve. 15m from the end,You physical natural party own lawyer.
Puzzling Saga of the Disc,Professor Roy Jacobs,Christina Weaver,unknown,1,The 10th year after Knurd,year 0216 in the 10th month,Restricted Section: bottom shelve. 2m from the end,Detail while church food back simply.
Bewildering Legend of the Clacks,Supreme Archchancellor Terri Davis,Roberta Rangel,year 0024 in the 3rd month,3,The 12th year after Luggage,year 0344 in the 3rd month,Restricted Section: top shelve. 7m from the end,Increase reach learn parent property traditional maintain.
Unimaginable Parable of the Counterweight Continent,High Wizard of Unseen William Hernandez,,,9,The year of Howondaland Expedition,year 0244 in the 2nd month,Dungeon Dimensions: middle shelve. 1m from the start,Bill reflect listen behavior just rate assume.
Enchanted Saga of the Witches,Foremost Patrician Lisa Lowe,Samantha Nolan,year -491 in the 7th month,9,The 7th year after Klatchian Coffee,year -449 in the 7th month,Dungeon Dimensions: middle shelve. 15m from the end,Beyond itself early affect various house above.
Incredible Odyssey of the Dungeon Dimensions,Grandmaster of Guilds Michael Reyes,Mark Mcconnell,year 0003 in the 5th month,2,The 10th year after Lancre Coven,year 0667 in the 9th month,Mended Drum: top shelve. 9m from the end,Respond morning something money consumer industry.
Wondrous Anecdote of the Dungeon Dimensions,Mastermagician Tristan Woods,Ronnie Murray,year -458 in the 9th month,6,The 9th year after Klatchian Coffee,year 0383 in the 7th month,Mended Drum: bottom shelve. 2m from the end,Can material either attorney two seem treatment.
Peculiar Revelation of the Dungeon Dimensions,Mastermagician David Morales,Desiree Miller,year -448 in the 7th month,7,The 3rd year after Squid,year 0414 in the 8th month,Tower of Art: middle shelve. 4m from the end,Military job country short without hair.
Incredible Anecdote of the Golems,Eminent Thief Gloria Clay,Nancy Chen,year -112 in the 12th month,7,The 4th year after Assassin's Guild,year -053 in the 9th month,Mended Drum: bottom shelve. 4m from the end,Bank interview deep month price.
Phantasmal Journey of the Trolls,Lead Alchemist Elizabeth French,,,1,The 14th year after Mended Drum,year 0786 in the 11th month,Great Hall: bottom shelve. 14m from the end,Interesting cost that miss suddenly.
Mysterious Mystery of the Death,Supreme Archchancellor Jennifer Turner,,,42,The 11th year after Invisible College,year -348 in the 7th month,Mended Drum: top shelve. 11m from the end,No begin manage trade today task help.
Enigmatic Mystery of the Trolls,Grandmaster of Guilds Elizabeth Jarvis,,,1,The 1st year after Librarian's Wrath,year 0528 in the 12th month,Tower of Art: bottom shelve. 10m from the end,Onto young center only.
Enigmatic Episode of the Patrician,Senior Guildmaster Andre Gonzalez,Michelle Hughes,year -123 in the 7th month,8,The 8th year after Guild Wars,year 0804 in the 11th month,Tower of Art: bottom shelve. 7m from the start,Model benefit them card understand page.
Hilarious Chronicle of the Rincewind,Chief Scrivener Samuel Fletcher,Mike Valdez,year 0779 in the 7th month,42,The 7th year after Octarine Sunset,year 0827 in the 5th month,Dungeon Dimensions: middle shelve. 6m from the end,Pretty forward record.
Enigmatic Mystery of the Dungeon Dimensions,Foremost Patrician Andrea Miles,,,1,The 1st year after Magic Bananas,year -298 in the 3rd month,Mended Drum: middle shelve. 8m from the end,It north ok agreement run.
Bizarre Tale of the Librarian,Grandmaster of Guilds Michelle Murillo,,,6,The 6th year after Lancre Coven,year -314 in the 10th month,Great Hall: middle shelve. 7m from the end,Indicate boy east it edge respond.
